nom,type,region,tag_owner
novaretail.private.mysql.database.azure.com,Microsoft.Network/privateDnsZones,global,equipe-cloud
pip-novaretail-prod-lb,Microsoft.Network/publicIPAddresses,swedencentral,equipe-cloud
pip-novaretail-prod-web-1,Microsoft.Network/publicIPAddresses,swedencentral,equipe-cloud
stnovaretailp2fxae,Microsoft.Storage/storageAccounts,swedencentral,equipe-cloud
nsg-novaretail-prod-web,Microsoft.Network/networkSecurityGroups,swedencentral,equipe-cloud
vnet-novaretail-prod,Microsoft.Network/virtualNetworks,swedencentral,equipe-cloud
pip-novaretail-prod-web-2,Microsoft.Network/publicIPAddresses,swedencentral,equipe-cloud
nsg-novaretail-prod-data,Microsoft.Network/networkSecurityGroups,swedencentral,equipe-cloud
lb-novaretail-prod-web,Microsoft.Network/loadBalancers,swedencentral,equipe-cloud
law-novaretail-prod,Microsoft.OperationalInsights/workspaces,swedencentral,equipe-cloud
novaretail.private.mysql.database.azure.com/mysql-dns-link,Microsoft.Network/privateDnsZones/virtualNetworkLinks,global,equipe-cloud
nic-novaretail-prod-web-2,Microsoft.Network/networkInterfaces,swedencentral,equipe-cloud
nic-novaretail-prod-web-1,Microsoft.Network/networkInterfaces,swedencentral,equipe-cloud
vm-novaretail-prod-web-1,Microsoft.Compute/virtualMachines,swedencentral,equipe-cloud
vm-novaretail-prod-web-2,Microsoft.Compute/virtualMachines,swedencentral,equipe-cloud
vm-novaretail-prod-web-1_OsDisk_1_e31990c7023740e0b62a1e9a56967b29,Microsoft.Compute/disks,swedencentral,equipe-cloud
vm-novaretail-prod-web-2_OsDisk_1_295ca9e0faa14c14ae31a7ef92cae3aa,Microsoft.Compute/disks,swedencentral,equipe-cloud
mysql-novaretail-prod-p2fxae,Microsoft.DBforMySQL/flexibleServers,swedencentral,equipe-cloud
